[browser.py] - [2019-11-04 17:59:15,041]  - [INFO] - 启动Chrome浏览器
[pyselenium.py] - [2019-11-04 17:59:23,443]  - [INFO] - 打开的URL为:http://ke.qq.com
[pyselenium.py] - [2019-11-04 17:59:23,445]  - [INFO] - 执行隐式等待，等待时长为10秒
[pyselenium.py] - [2019-11-04 17:59:23,712]  - [INFO] - 执行鼠标悬停成功，定位方法以及元素为：('xpath', '//*[@title="分类"]')
[pyselenium.py] - [2019-11-04 17:59:23,750]  - [INFO] - 成功获取文本值，定位元素的方法以及值为：('xpath', '//*[@title="分类"]')，获取的文本值为：分类
[pyselenium.py] - [2019-11-04 17:59:23,818]  - [INFO] - 执行元素等待出现并进行点击操作成功，元素值为：('xpath', '//*[@id="js-mod-entry-index"]/a')
[pyselenium.py] - [2019-11-04 17:59:25,919]  - [INFO] - 执行元素等待出现并进行点击操作成功，元素值为：('xpath', "//*[@class='icon-font i-qq']")
[pyselenium.py] - [2019-11-04 17:59:25,953]  - [INFO] - 进入frame框架成功，定位into_frame的元素为：
[pyselenium.py] - [2019-11-04 17:59:26,058]  - [INFO] - 执行元素等待出现并进行点击操作成功，元素值为：('xpath', '//*[@id="switcher_plogin"]')
[pyselenium.py] - [2019-11-04 17:59:29,197]  - [INFO] - 浏览器执行关闭操作成功
